~	        î  $   PROGRAM	ID	 ;	.	,	CONST	=	INTEIRO	VAR	:	INTEGER	OF	PROCEDURE	(	)	BEGIN	END	:=	CALL	IF	THEN	ELSE	WHILE	DO	REPEAT	UNTIL	READLN	WRITELN	LITERAL	CASE	FOR	TO	<	>	>=	<=	<>	+	-	OR	*	/	AND	NOT
<EXPRESSAO>	-1	-1	-1	50	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	50	-1	-1	-1	-1	50	
<REPEXPSIMP>	51	-1	-1	-1	51	-1	51	-1	52	-1	-1	-1	-1	51	-1	-1	51	-1	51	-1	-1	-1	51	51	-1	51	-1	51	-1	-1	-1	-1	-1	51	53	54	55	56	57	-1	-1	-1	-1	-1	-1	-1	
<EXPSIMP>	-1	-1	-1	60	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	59	-1	-1	-1	-1	60	
<REPEXP>	64	-1	-1	-1	64	-1	64	-1	64	-1	-1	-1	-1	64	-1	-1	64	-1	64	-1	-1	-1	64	64	-1	64	-1	64	-1	-1	-1	-1	-1	64	64	64	64	64	64	61	62	63	-1	-1	-1	64	
<TERMO>	-1	-1	-1	65	-1	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	
<REPTERMO>	66	-1	-1	-1	66	-1	66	-1	66	-1	-1	-1	-1	66	-1	-1	66	-1	66	-1	-1	-1	66	66	-1	66	-1	66	-1	-1	-1	-1	-1	66	66	66	66	66	66	66	66	66	67	68	69	-1	
<FATOR>	-1	-1	-1	73	-1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	71	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	
<CONDCASE>	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
<CONTCASE>	47	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
<RPINTEIRO>	46	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
